datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2006-01-03,0.0,100000.0,0.0,100000.0,,,
2006-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-11,9789.115142822266,90240.6204711914,1.3,100029.73561401367,0.0002973561401367064,1.0002973561401367,0.0
2006-01-12,9750.505065917969,90240.6204711914,1.3,99991.12553710937,-0.00038598599373773634,0.9999112553710937,0.0003861007690429963
2006-01-13,9741.423034667969,90240.6204711914,1.3,99982.04350585937,-9.082837303020508e-05,0.9998204350585937,0.0004769210815429581
2006-01-17,9714.92691040039,90240.6204711914,1.3,99955.5473815918,-0.0002650088289706254,0.9995554738159179,0.00074188232421879
2006-01-18,9676.318359375,90240.6204711914,1.3,99916.9388305664,-0.000386257211698271,0.999169388305664,0.0011279678344726651
2006-01-19,9713.41323852539,90240.6204711914,1.3,99954.0337097168,0.0003712571620442251,0.9995403370971678,0.0007570190429688761
2006-01-20,9536.26937866211,90240.6204711914,1.3,99776.88984985351,-0.0017722532377005829,0.997768898498535,0.0025284576416017
2006-01-23,9570.33462524414,90240.6204711914,1.3,99810.95509643554,0.0003414141955446759,0.9981095509643554,0.002187805175781321
2006-01-24,9580.176544189451,90240.6204711914,1.3,99820.79701538086,9.860559831142979e-05,0.9982079701538086,0.0020893859863281294
2006-01-25,9588.50326538086,90240.6204711914,1.3,99829.12373657226,8.34166971250827e-05,0.9982912373657228,0.002006118774413923
2006-01-26,9641.492462158205,90240.6204711914,1.3,99882.1129333496,0.000530798977232072,0.9988211293334962,0.0014762268066405015
2006-01-27,9730.824279785156,90240.6204711914,1.3,99971.44475097656,0.0008943725258050428,0.9997144475097657,0.0005829086303710262
2006-01-30,9723.255157470705,90240.6204711914,1.3,99963.8756286621,-7.57128431354559e-05,0.9996387562866211,0.0006585998535155735
2006-01-31,9652.092742919922,90240.6204711914,1.3,99892.71321411133,-0.0007118813081550268,0.9989271321411134,0.0013702239990233123
2006-02-01,9719.46792602539,90240.6204711914,1.3,99960.0883972168,0.0006744754540910503,0.9996008839721682,0.0006964721679685315
2006-02-02,9606.668853759766,90240.6204711914,1.3,99847.28932495117,-0.001128441101586386,0.9984728932495119,0.0018244628906247673
2006-02-03,9558.981323242188,90240.6204711914,1.3,99799.60179443359,-0.00047760465847379585,0.9979960179443361,0.002301338195800584
2006-02-06,9583.960723876951,90240.6204711914,1.3,99824.58119506836,0.00025029559422717895,0.9982458119506838,0.0020515441894528585
2006-02-07,9499.175262451172,90240.6204711914,1.3,99739.79573364258,-0.0008493445242719888,0.9973979573364261,0.0028993988037105956
2006-02-08,9585.4736328125,90240.6204711914,1.3,99826.0941040039,0.0008652350822111465,0.9982609410400394,0.002036415100097333
2006-02-09,9569.579315185549,90240.6204711914,1.3,99810.19978637695,-0.00015922006935775723,0.9981019978637699,0.0021953582763668544
2006-02-10,9586.988830566406,90240.6204711914,1.3,99827.60930175781,0.0001744262151375242,0.9982760930175785,0.0020212631225582367
2006-02-13,9569.579315185549,90240.6204711914,1.3,99810.19978637695,-0.00017439579593891974,0.9981019978637699,0.0021953582763668544
2006-02-14,9671.018981933594,90240.6204711914,1.3,99911.639453125,0.0010163256557462752,0.9991163945312505,0.0011809616088862551
2006-02-15,9705.084228515623,90240.6204711914,1.3,99945.70469970703,0.0003409537344045699,0.9994570469970707,0.000840309143065987
2006-02-16,9777.761840820312,90240.6204711914,1.3,100018.38231201172,0.0007271709426939221,1.0001838231201177,0.00011353302001904098
2006-02-17,9751.261901855469,90240.6204711914,1.3,99991.88237304687,-0.00026495068558674006,0.9999188237304693,0.0003785324096674536
2006-02-21,9727.039337158205,90240.6204711914,1.3,99967.6598083496,-0.00024224531154337647,0.9996765980834966,0.0006207580566400805
2006-02-22,9786.087799072266,90240.6204711914,1.3,100026.70827026367,0.0005906756447762174,1.0002670827026372,3.0273437499506173e-05
2006-02-23,9771.702575683594,90240.6204711914,1.3,100012.323046875,-0.00014381382370198814,1.0001232304687504,0.00017412567138630486
2006-02-24,9796.68426513672,90240.6204711914,1.3,100037.30473632812,0.0002497861132715329,1.0003730473632817,0.0
2006-02-27,9800.473022460938,90240.6204711914,1.3,100041.09349365234,3.78734446535578e-05,1.000410934936524,0.0
